timestamp,template_id,template,count,mean,std,threshold,z_score
2005-07-03 00:45:00,66,- <*> 2005.07.02 <*> <*> <*> RAS KERNEL INFO generating <*>,5,0.006,0.173,0.526,28.81
2005-06-14 17:55:00,34,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL program interrupt: fp cr field .............0,4,0.005,0.139,0.421,28.81
2005-07-25 23:30:00,88,- <*> 2005.07.25 <*> <*> <*> RAS KERNEL INFO generating <*>,4,0.005,0.139,0.421,28.81
2005-06-14 17:55:00,33,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL guaranteed <*> cache block <*>,3,0.004,0.104,0.316,28.81
2005-06-14 18:00:00,35,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL icache prefetch <*>,3,0.004,0.104,0.316,28.81
2005-06-14 18:30:00,41,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL disable store gathering..................0,3,0.004,0.104,0.316,28.81
2005-06-19 07:30:00,47,- <*> 2005.06.19 <*> <*> <*> RAS KERNEL INFO generating <*>,3,0.004,0.104,0.316,28.81
2005-11-11 07:00:00,125,- <*> 2005.11.10 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,3,0.004,0.104,0.316,28.81
2005-06-14 17:35:00,24,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL store operation.............................1,2,0.002,0.069,0.21,28.81
2005-07-11 21:00:00,75,KERNRTSP <*> 2005.07.11 <*> <*> <*> RAS KERNEL FATAL rts panic! - stopping execution,2,0.002,0.069,0.21,28.81
2005-07-27 19:25:00,90,- <*> 2005.07.27 <*> <*> <*> RAS KERNEL INFO generating <*>,2,0.002,0.069,0.21,28.81
2005-07-28 18:05:00,91,- <*> 2005.07.28 <*> <*> <*> RAS KERNEL INFO generating <*>,2,0.002,0.069,0.21,28.81
2005-08-28 10:35:00,107,"- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO NFS Mount failed on <*> slept 15 seconds, retrying (1)",2,0.002,0.069,0.21,28.81
2005-11-08 00:10:00,120,- <*> 2005.11.07 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,2,0.002,0.069,0.21,28.81
2005-06-07 02:50:00,8,- 1118112700 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1,0.001,0.035,0.105,28.81
2005-06-13 21:55:00,15,- 1118699850 2005.06.13 R22-M0-NC-I:J18-U01 2005-06-13-14.57.30.126106 R22-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: Message code 0 is not 51 or 4294967295,1,0.001,0.035,0.105,28.81
2005-06-14 17:40:00,28,- 1118771075 2005.06.14 R24-M0-NF-C:J09-U01 2005-06-14-10.44.35.353282 R24-M0-NF-C:J09-U01 RAS KERNEL FATAL auxiliary processor.........................0,1,0.001,0.035,0.105,28.81
2005-06-14 17:50:00,32,- 1118771679 2005.06.14 R21-M1-N5-C:J05-U11 2005-06-14-10.54.39.063056 R21-M1-N5-C:J05-U11 RAS KERNEL FATAL program interrupt: fp cr update.............0,1,0.001,0.035,0.105,28.81
2005-06-14 18:05:00,36,- 1118772337 2005.06.14 R24-M0-N7-C:J06-U01 2005-06-14-11.05.37.845720 R24-M0-N7-C:J06-U01 RAS KERNEL FATAL critical input interrupt enable...0,1,0.001,0.035,0.105,28.81
2005-06-14 18:10:00,37,- 1118772810 2005.06.14 R27-M0-N9-C:J12-U01 2005-06-14-11.13.30.870052 R27-M0-N9-C:J12-U01 RAS KERNEL FATAL special purpose registers:,1,0.001,0.035,0.105,28.81
2005-06-14 18:10:00,38,- 1118772877 2005.06.14 R27-M1-N3-C:J04-U11 2005-06-14-11.14.37.821210 R27-M1-N3-C:J04-U11 RAS KERNEL FATAL lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1,0.001,0.035,0.105,28.81
2005-06-14 18:15:00,39,- 1118772927 2005.06.14 R27-M0-N6-C:J02-U11 2005-06-14-11.15.27.823191 R27-M0-N6-C:J02-U11 RAS KERNEL FATAL rts internal error,1,0.001,0.035,0.105,28.81
2005-06-14 18:25:00,40,- 1118773618 2005.06.14 R25-M1-N7-C:J09-U11 2005-06-14-11.26.58.490506 R25-M1-N7-C:J09-U11 RAS KERNEL FATAL instruction address space.........0,1,0.001,0.035,0.105,28.81
2005-06-18 00:40:00,45,- 1119055358 2005.06.17 R12-M1-NB-C:J15-U01 2005-06-17-17.42.38.875141 R12-M1-NB-C:J15-U01 RAS KERNEL INFO generating core.1488,1,0.001,0.035,0.105,28.81
2005-06-19 03:25:00,46,- 1119151510 2005.06.18 R36-M0-NF-C:J13-U01 2005-06-18-20.25.10.503085 R36-M0-NF-C:J13-U01 RAS KERNEL INFO generating core.2186,1,0.001,0.035,0.105,28.81
2005-06-21 02:00:00,50,APPCHILD 1119319455 2005.06.20 R12-M1-NC-I:J18-U11 2005-06-20-19.04.15.002425 R12-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,1,0.001,0.035,0.105,28.81
2005-06-26 17:25:00,57,- 1119806971 2005.06.26 R05-M1-N8-C:J15-U11 2005-06-26-10.29.31.819506 R05-M1-N8-C:J15-U11 RAS KERNEL INFO instruction address: 0x0062fe04,1,0.001,0.035,0.105,28.81
2005-06-26 17:30:00,58,- 1119807051 2005.06.26 R05-M0-N6-C:J06-U11 2005-06-26-10.30.51.645473 R05-M0-N6-C:J06-U11 RAS KERNEL INFO exception syndrome register: 0x08000000,1,0.001,0.035,0.105,28.81
2005-07-09 11:30:00,72,- 1120908821 2005.07.09 R20-M0-N8-I:J18-U01 2005-07-09-04.33.41.091472 R20-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1,0.001,0.035,0.105,28.81
2005-07-14 23:20:00,78,- 1121383222 2005.07.14 R01-M0-N0-I:J18-U11 2005-07-14-16.20.22.672549 R01-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,1,0.001,0.035,0.105,28.81
2005-07-15 06:15:00,79,- 1121408299 2005.07.14 R23-M0-N0-I:J18-U01 2005-07-14-23.18.19.684786 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1,0.001,0.035,0.105,28.81
2005-07-18 22:50:00,83,"KERNTERM 1121727206 2005.07.18 R20-M1-N8-C:J12-U01 2005-07-18-15.53.26.229596 R20-M1-N8-C:J12-U01 RAS KERNEL FATAL rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",1,0.001,0.035,0.105,28.81
2005-07-18 23:00:00,84,- 1121727746 2005.07.18 R00-M1-N5-C:J03-U11 2005-07-18-16.02.26.154455 R00-M1-N5-C:J03-U11 RAS KERNEL FATAL debug wait enable.................0,1,0.001,0.035,0.105,28.81
2005-08-02 23:35:00,93,- 1123025954 2005.08.02 R23-M0-N7 2005-08-02-16.39.14.159918 R23-M0-N7 NULL HARDWARE SEVERE NodeCard is not fully functional,1,0.001,0.035,0.105,28.81
2005-08-03 00:55:00,94,"- 1123030687 2005.08.02 R00-M0-N2 2005-08-02-17.58.07.084868 R00-M0-N2 NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",1,0.001,0.035,0.105,28.81
2005-08-05 17:20:00,98,"- 1123262593 2005.08.05 R25-M1-N2 2005-08-05-10.23.13.029850 R25-M1-N2 NULL HARDWARE WARNING PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",1,0.001,0.035,0.105,28.81
2005-08-09 19:05:00,99,- 1123614572 2005.08.09 R00-M0-N6-C:J03-U11 2005-08-09-12.09.32.252222 R00-M0-N6-C:J03-U11 RAS KERNEL FATAL rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1,0.001,0.035,0.105,28.81
